# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 
1.000000000000000E+004 -1.051655554637714E+001 -1.794743417394891E+002 
1.003459849147839E+004 -1.054831376359849E+001 -1.794663510710823E+002 
1.006931668851804E+004 -1.052636153648872E+001 -1.792557187293718E+002 
1.010415500528214E+004 -1.057116527871530E+001 -1.793080836477654E+002 
1.013911385736680E+004 -1.054894946248391E+001 -1.795074697289053E+002 
1.017419366180605E+004 -1.053517507831017E+001 -1.791778690411543E+002 
1.020939483707681E+004 -1.055138952870346E+001 -1.792210993743622E+002 
1.024471780310382E+004 -1.057078778878054E+001 -1.795876814607248E+002 
1.028016298126474E+004 -1.054571140483389E+001 -1.795286868565261E+002 
1.031573079439512E+004 -1.052321072373776E+001 -1.794109213784298E+002 
1.035142166679345E+004 -1.054098254949916E+001 -1.795840780921095E+002 
1.038723602422623E+004 -1.058825479159136E+001 -1.794394981957224E+002 
1.042317429393305E+004 -1.056537695284105E+001 -1.795411818038283E+002 
1.045923690463170E+004 -1.054229061693623E+001 -1.794001375991437E+002 
1.049542428652324E+004 -1.056220570395631E+001 -1.793626411054982E+002 
1.053173687129718E+004 -1.054092698057587E+001 -1.795285784547051E+002 
1.056817509213660E+004 -1.053235891488531E+001 -1.795690665286296E+002 
1.060473938372335E+004 -1.058123747480773E+001 -1.795364121388718E+002 
1.064143018224318E+004 -1.054519346842020E+001 -1.794781439337132E+002 
1.067824792539100E+004 -1.052405754475838E+001 -1.794483247744511E+002 
1.071519305237608E+004 -1.054751723868757E+001 -1.795289799239604E+002 
1.075226600392728E+004 -1.052054990324557E+001 -1.794983875977873E+002 
1.078946722229831E+004 -1.054476922713966E+001 -1.793936331657810E+002 
1.082679715127302E+004 -1.055099926663914E+001 -1.794848025822045E+002 
1.086425623617068E+004 -1.052322383985297E+001 -1.795486802481051E+002 
1.090184492385130E+004 -1.054800181153604E+001 -1.796219443425721E+002 
1.093956366272096E+004 -1.054184383524578E+001 -1.795751131354668E+002 
1.097741290273716E+004 -1.053424410394322E+001 -1.794477726422907E+002 
1.101539309541417E+004 -1.053837624388588E+001 -1.794600835501904E+002 
1.105350469382845E+004 -1.051925768119861E+001 -1.794022858162268E+002 
1.109174815262403E+004 -1.056386383800148E+001 -1.794001876586400E+002 
1.113012392801794E+004 -1.055717586914026E+001 -1.795366222344609E+002 
1.116863247780564E+004 -1.055057201030269E+001 -1.795977211332831E+002 
1.120727426136650E+004 -1.053472361400495E+001 -1.795882597085646E+002 
1.124604973966929E+004 -1.050505658026713E+001 -1.796237668172413E+002 
1.128495937527765E+004 -1.053886255319186E+001 -1.793471183432091E+002 
1.132400363235560E+004 -1.053495825409261E+001 -1.795563449777830E+002 
1.136318297667313E+004 -1.052668523405474E+001 -1.794818088700285E+002 
1.140249787561172E+004 -1.054356287087834E+001 -1.794061827445893E+002 
1.144194879816989E+004 -1.049395142372099E+001 -1.796291715972282E+002 
1.148153621496886E+004 -1.053082185988679E+001 -1.796261366065382E+002 
1.152126059825810E+004 -1.050189916927358E+001 -1.794551834060331E+002 
1.156112242192102E+004 -1.051258953861500E+001 -1.796496201601089E+002 
1.160112216148057E+004 -1.053715316506600E+001 -1.794273229068185E+002 
1.164126029410495E+004 -1.057790503774781E+001 -1.795421044321855E+002 
1.168153729861328E+004 -1.053974629814234E+001 -1.793863915052790E+002 
1.172195365548134E+004 -1.051530643608068E+001 -1.794639052987323E+002 
1.176250984684727E+004 -1.049179088581567E+001 -1.795453243103142E+002 
1.180320635651734E+004 -1.052610971190398E+001 -1.795880384469950E+002 
1.184404366997170E+004 -1.052444748828547E+001 -1.796279505231929E+002 
1.188502227437023E+004 -1.051939159131546E+001 -1.793786220482772E+002 
